CityName,TownName,VilCode,VilName,NesatAndHaitang,Megi
台北市,松山區,6300100-002,莊敬里,0.0633839411713224,3.5928650394813024
台北市,松山區,6300100-003,東榮里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-004,三民里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-005,新益里,0.04592014437591563,0.9543098979542266
台北市,松山區,6300100-006,富錦里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-007,新東里,0.04592014437591563,1.1213111225382488
台北市,松山區,6300100-008,富泰里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-009,介壽里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-010,精忠里,0.045652992089542765,1.5915630190443548
台北市,松山區,6300100-011,東光里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-012,龍田里,0.045652992089542765,1.2366378404995921
台北市,松山區,6300100-013,東昌里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-014,東勢里,0.04592014437591563,0.7726190958183696
台北市,松山區,6300100-015,中華里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-016,民有里,0.04592014437591563,0.7726190958183696
台北市,松山區,6300100-017,民福里,0.05407248906036166,2.2213832939373694
台北市,松山區,6300100-018,慈祐里,0.045652992089542765,1.6148363171572
台北市,松山區,6300100-019,安平里,0.04592014437591563,1.1131151505284502
台北市,松山區,6300100-020,鵬程里,0.04592014437591563,1.2433069027043513
台北市,松山區,6300100-021,自強里,0.04592014437591563,0.7726190958183696
台北市,松山區,6300100-022,吉祥里,0.0483767929959491,1.241033410195397
台北市,松山區,6300100-024,新聚里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-025,復盛里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-026,中正里,0.04592014437591563,0.7726190958183696
台北市,松山區,6300100-027,中崙里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-028,美仁里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-029,吉仁里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-030,敦化里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-031,復源里,0.04592014437591563,0.7880523922940101
台北市,松山區,6300100-032,復建里,0.04592014437591563,0.7726190958183696
台北市,松山區,6300100-033,復勢里,0.04592014437591563,1.3181727749396268
台北市,松山區,6300100-034,福成里,0.04592014437591563,0.7751350895738187
台北市,松山區,6300100-035,松基里,0.04592014437591563,0.7880523922940101
台北市,信義區,6300200-001,西村里,0.03747153397217251,0.6541285454979151
台北市,信義區,6300200-002,正和里,0.03747153397217251,0.6541285454979151
台北市,信義區,6300200-003,興隆里,0.03747153397217251,0.6541285454979151
台北市,信義區,6300200-004,中興里,0.03747153397217251,0.6519867532563339
台北市,信義區,6300200-005,新仁里,0.03747153397217251,0.6670787999724916
台北市,信義區,6300200-006,興雅里,0.03747153397217251,0.6550115445308717
台北市,信義區,6300200-007,敦厚里,0.03747153397217251,0.744699768234814
台北市,信義區,6300200-008,廣居里,0.03747153397217251,0.9666491556213126
台北市,信義區,6300200-009,安康里,0.03747153397217251,0.6541285454979151
台北市,信義區,6300200-010,六藝里,0.03747153397217251,0.6550115445308717
台北市,信義區,6300200-011,雅祥里,0.03747153397217251,0.933201527645845
台北市,信義區,6300200-012,五常里,0.03747153397217251,0.6550115445308717
台北市,信義區,6300200-013,五全里,0.03747153397217251,0.6519867532563339
台北市,信義區,6300200-014,永吉里,0.03747153397217251,0.744699768234814
台北市,信義區,6300200-015,長春里,0.03747153397217251,0.6541285454979151
台北市,信義區,6300200-016,四育里,0.03747153397217251,0.6670787999724916
